결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-23 15:23:35","2024-07-23 15:23:35","PC쇼핑몰","20240723-0000023","P000000M","P000000M000L","1","52000.00","0.00","","배송중"
"2024-07-23 16:29:48","2024-07-23 16:24:07","모바일웹","20240723-0000037","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-23 16:50:18","2024-07-23 16:50:18","모바일웹","20240723-0000044","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-07-23 20:41:19","2024-07-23 20:37:34","모바일웹","20240723-0000051","P000000L","P000000L000B","1","50000.00","0.00","","배송 준비중"
