결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-16 06:08:27","2024-07-16 06:08:27","모바일웹","20240716-0000035","P00000CK","P00000CK000D","1","88000.00","0.00","","배송중"
"2024-07-16 07:46:02","2024-07-16 07:46:02","모바일웹","20240716-0000049","P00000CK","P00000CK000D","1","88000.00","0.00","","배송중"
"2024-07-16 08:08:44","2024-07-16 08:08:44","모바일웹","20240716-0000056","P00000CK","P00000CK000A","1","27900.00","3000.00","","배송중"
"2024-07-16 08:55:42","2024-07-16 08:55:42","모바일웹","20240716-0000069","P00000JZ","P00000JZ000B","2","79800.00","0.00","","배송중"
"2024-07-16 10:17:13","2024-07-16 10:17:13","PC쇼핑몰","20240716-0000075","P000000O","P000000O000I","1","89000.00","0.00","","배송중"
"2024-07-16 10:12:14","2024-07-16 10:16:26","네이버 페이","20240716-0000081","P00000JI","P00000JI000P","1","25900.00","0.00","","배송중"
"2024-07-16 10:12:14","2024-07-16 10:16:26","네이버 페이","20240716-0000081","P00000KA","P00000KA000N","1","48000.00","","","배송중"
"2024-07-16 10:37:14","2024-07-16 10:39:46","네이버 페이","20240716-0000096","P00000KA","P00000KA000J","1","48000.00","0.00","","배송중"
"2024-07-16 11:18:00","2024-07-16 11:20:35","네이버 페이","20240716-0000106","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-16 11:29:00","2024-07-16 11:29:00","모바일웹","20240716-0000117","P00000JZ","P00000JZ000B","3","119700.00","0.00","","배송중"
"2024-07-16 12:12:24","2024-07-16 12:12:24","모바일웹","20240716-0000156","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-16 14:40:13","2024-07-16 14:43:18","네이버 페이","20240716-0000167","P000000Y","P000000Y000L","1","30900.00","3000.00","","배송중"
"2024-07-16 15:08:49","2024-07-16 15:08:49","모바일웹","20240716-0000170","P00000CK","P00000CK000C","1","73800.00","0.00","","배송중"
"2024-07-16 15:26:21","2024-07-16 15:26:19","쿠팡","20240716-0000184","14651382730","14651382730000000000000","1","16800.00","3000.00","","배송 준비중"
"2024-07-16 16:15:56","2024-07-16 16:15:56","모바일웹","20240716-0000195","P000000O","P000000O000H","1","48000.00","3000.00","","취소 요청"
"2024-07-16 16:34:57","2024-07-16 16:34:57","모바일웹","20240716-0000209","P00000JZ","P00000JZ000C","1","40900.00","3000.00","","배송 준비중"
"2024-07-16 16:40:09","2024-07-16 16:40:09","PC쇼핑몰","20240716-0000216","P000000O","P000000O000K","1","160000.00","0.00","","배송 준비중"
"2024-07-16 16:28:44","2024-07-16 16:28:22","쿠팡","20240716-0000227","14478287655","14478287655000000000000","1","42000.00","0.00","","배송 준비중"
"2024-07-16 16:54:34","2024-07-16 16:54:34","모바일웹","20240716-0000235","P00000IS","P00000IS000G","1","86000.00","0.00","","배송 준비중"
"2024-07-16 16:57:22","2024-07-16 16:57:22","모바일웹","20240716-0000248","P00000CK","P00000CK000B","1","52800.00","0.00","","배송 준비중"
"2024-07-16 16:48:37","2024-07-16 16:48:36","쿠팡","20240716-0000257","14478287655","14478287655000000000000","1","42000.00","0.00","","배송 준비중"
"2024-07-16 17:22:33","2024-07-16 17:22:33","모바일웹","20240716-0000260","P00000EE","P00000EE000B","1","53820.00","0.00","","배송 준비중"
"2024-07-16 17:31:33","2024-07-16 17:31:33","모바일웹","20240716-0000275","P00000EE","P00000EE000B","1","53820.00","0.00","","배송 준비중"
"2024-07-16 17:31:33","2024-07-16 17:31:33","모바일웹","20240716-0000275","P00000IS","P00000IS000G","1","86000.00","","","배송 준비중"
"2024-07-16 17:31:33","2024-07-16 17:31:33","모바일웹","20240716-0000275","P000000O","P000000O000J","1","126000.00","","","배송 준비중"
"2024-07-16 17:07:05","2024-07-16 17:06:56","쿠팡","20240716-0000283","13525526501","13525526501000000000000","2","42000.00","3000.00","","배송 준비중"
"2024-07-16 19:31:08","2024-07-16 19:31:07","쿠팡","20240716-0000291","13525526501","13525526501000000000000","1","17800.00","3000.00","","배송 준비중"
"2024-07-16 20:26:34","2024-07-16 20:26:21","쿠팡","20240716-0000308","14478287655","14478287655000000000000","1","42000.00","0.00","","배송 준비중"
"2024-07-16 20:30:54","2024-07-16 20:30:52","쿠팡","20240716-0000311","14478287655","14478287655000000000000","1","42000.00","0.00","","배송 준비중"
"2024-07-16 20:32:27","2024-07-16 20:32:26","쿠팡","20240716-0000323","13525526501","13525526501000000000000","1","21000.00","3000.00","","배송 준비중"
"2024-07-16 21:19:15","2024-07-16 21:19:12","쿠팡","20240716-0000336","13525485770","13525485770000000000000","1","59800.00","0.00","","배송 준비중"
"2024-07-16 21:47:13","2024-07-16 21:47:12","쿠팡","20240716-0000346","13525598019","13525598019000000000000","1","88000.00","0.00","","배송 준비중"
"2024-07-16 22:32:35","2024-07-16 22:32:35","모바일웹","20240716-0000358","P000000O","P000000O000K","1","160000.00","0.00","","배송 준비중"
"2024-07-16 22:09:29","2024-07-16 22:09:05","쿠팡","20240716-0000361","14478287655","14478287655000000000000","1","42000.00","0.00","","배송 준비중"
"2024-07-16 22:43:03","2024-07-16 22:46:35","네이버 페이","20240716-0000372","P00000JD","P00000JD000K","2","155800.00","0.00","","배송 준비중"
"2024-07-16 23:17:25","2024-07-16 23:17:23","쿠팡","20240716-0000381","14478287655","14478287655000000000000","1","42000.00","0.00","","배송 준비중"
