결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-23 01:29:24","2024-07-23 01:32:37","네이버 페이","20240723-0000021","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-23 01:02:47","2024-07-23 01:02:36","쿠팡","20240723-0000035","13658777104","13658777104000000000000","1","199900.00","0.00","","배송중"
"2024-07-23 01:49:57","2024-07-23 01:51:38","네이버 페이","20240723-0000048","P00000CK","P00000CK000B","1","52800.00","0.00","","배송중"
"2024-07-23 02:31:43","2024-07-23 02:31:43","모바일웹","20240723-0000056","P00000JZ","P00000JZ000C","1","40900.00","3000.00","","취소 완료"
"2024-07-23 08:07:36","2024-07-23 08:07:36","모바일웹","20240723-0000064","P00000IS","P00000IS000G","1","86000.00","0.00","","배송중"
"2024-07-23 08:28:04","2024-07-23 08:28:02","쿠팡","20240723-0000072","13524651195","13524651195000000000000","1","48000.00","3000.00","","배송중"
"2024-07-23 09:35:30","2024-07-23 09:38:51","네이버 페이","20240723-0000090","P00000JZ","P00000JZ000C","1","40900.00","3000.00","","배송중"
"2024-07-23 10:24:14","2024-07-23 10:24:14","모바일웹","20240723-0000105","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-23 10:31:55","2024-07-23 10:34:30","네이버 페이","20240723-0000111","P00000GU","P00000GU000B","1","48000.00","3000.00","","배송중"
"2024-07-23 10:34:40","2024-07-23 10:34:38","쿠팡","20240723-0000124","13524651195","13524651195000000000000","1","89000.00","0.00","","배송중"
"2024-07-23 11:53:53","2024-07-23 11:55:24","네이버 페이","20240723-0000132","P00000JC","P00000JC000J","1","81000.00","0.00","","배송중"
"2024-07-23 12:14:38","2024-07-23 12:14:38","모바일웹","20240723-0000145","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-23 12:28:28","2024-07-23 12:32:34","네이버 페이","20240723-0000153","P00000KB","P00000KB000F","1","89000.00","0.00","","배송중"
"2024-07-23 12:12:30","2024-07-23 12:12:28","쿠팡","20240723-0000168","14478287655","14478287655000000000000","1","54000.00","0.00","","배송중"
"2024-07-23 13:49:17","2024-07-23 13:52:22","네이버 페이","20240723-0000171","P00000JC","P00000JC000J","1","81000.00","0.00","","배송중"
"2024-07-23 13:40:10","2024-07-23 13:40:02","쿠팡","20240723-0000188","13525069517","13525069517000000000000","1","70500.00","0.00","","배송중"
"2024-07-23 14:21:28","2024-07-23 14:21:28","모바일웹","20240723-0000208","P00000JD","P00000JD000K","1","77900.00","0.00","","취소 완료"
"2024-07-23 16:05:28","2024-07-23 16:08:42","네이버 페이","20240723-0000216","P00000IN","P00000IN000I","1","27200.00","3000.00","","배송중"
"2024-07-23 16:39:59","2024-07-23 16:37:12","모바일웹","20240723-0000222","P00000JZ","P00000JZ000B","1","39900.00","0.00","","배송 준비중"
"2024-07-23 16:39:59","2024-07-23 16:37:12","모바일웹","20240723-0000222","P00000JZ","P00000JZ000C","1","40900.00","","","배송 준비중"
"2024-07-23 17:24:26","2024-07-23 17:28:24","네이버 페이","20240723-0000235","P00000JZ","P00000JZ000C","1","40900.00","3000.00","","배송 준비중"
"2024-07-23 18:03:12","2024-07-23 18:03:12","모바일웹","20240723-0000249","P00000CK","P00000CK000A","1","27900.00","3000.00","","배송 준비중"
"2024-07-23 17:43:30","2024-07-23 17:43:23","쿠팡","20240723-0000252","13524651195","13524651195000000000000","1","160000.00","0.00","","배송 준비중"
"2024-07-23 20:20:26","2024-07-23 20:20:26","모바일웹","20240723-0000284","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-23 20:55:06","2024-07-23 20:57:24","네이버 페이","20240723-0000295","P000000O","P000000O000H","1","48000.00","3000.00","","배송 준비중"
"2024-07-23 21:32:52","2024-07-23 21:36:48","네이버 페이","20240723-0000301","P000000O","P000000O000I","1","89000.00","0.00","","배송 준비중"
"2024-07-23 21:55:56","2024-07-23 21:58:43","네이버 페이","20240723-0000311","P00000CK","P00000CK000D","1","88000.00","0.00","","배송 준비중"
"2024-07-23 22:05:30","2024-07-23 22:08:37","네이버 페이","20240723-0000326","P000000R","P000000R000Q","1","72900.00","0.00","","배송 준비중"
"2024-07-23 22:13:09","2024-07-23 22:16:33","네이버 페이","20240723-0000332","P00000GU","P00000GU000B","1","48000.00","3000.00","","배송 준비중"
"2024-07-23 22:24:22","2024-07-23 22:23:59","쿠팡","20240723-0000341","13525598019","13525598019000000000000","1","88000.00","0.00","","배송 준비중"
"2024-07-23 23:02:45","2024-07-23 23:02:45","모바일웹","20240723-0000365","P00000JZ","P00000JZ000C","2","81800.00","0.00","","배송 준비중"
"2024-07-23 23:11:28","2024-07-23 23:14:33","네이버 페이","20240723-0000372","P00000JZ","P00000JZ000C","1","40900.00","3000.00","","배송 준비중"
