결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-05 00:20:23","2024-07-05 00:20:03","쿠팡","20240705-0000018","13525526501","13525526501000000000000","1","21000.00","3000.00","","배송중"
"2024-07-05 00:53:38","2024-07-05 00:53:38","모바일웹","20240705-0000030","P00000JZ","P00000JZ000B","2","79800.00","0.00","","배송중"
"2024-07-05 06:55:03","2024-07-05 06:55:02","쿠팡","20240705-0000042","13525526501","13525526501000000000000","1","21000.00","3000.00","","배송 완료"
"2024-07-05 08:02:06","2024-07-05 08:02:06","모바일웹","20240705-0000053","P00000GU","P00000GU000C","1","86000.00","0.00","","배송중"
"2024-07-05 08:02:06","2024-07-05 08:02:06","모바일웹","20240705-0000053","P000000O","P000000O000H","1","48000.00","","","배송중"
"2024-07-05 08:44:30","2024-07-05 08:48:23","네이버 페이","20240705-0000066","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-05 09:40:16","2024-07-05 09:44:14","네이버 페이","20240705-0000078","P000000O","P000000O000I","1","89000.00","0.00","","배송중"
"2024-07-05 10:30:27","2024-07-05 10:30:27","모바일웹","20240705-0000086","P00000CK","P00000CK000A","1","27900.00","3000.00","","배송중"
"2024-07-05 10:55:26","2024-07-05 10:55:26","모바일웹","20240705-0000092","P00000JZ","P00000JZ000C","1","40900.00","3000.00","","배송중"
"2024-07-05 11:14:21","2024-07-05 11:14:21","모바일웹","20240705-0000103","P00000JZ","P00000JZ000E","2","83800.00","0.00","","배송중"
"2024-07-05 11:14:21","2024-07-05 11:14:21","모바일웹","20240705-0000103","P00000JZ","P00000JZ000B","1","39900.00","","","배송중"
"2024-07-05 13:02:10","2024-07-05 13:06:14","네이버 페이","20240705-0000123","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-05 13:12:24","2024-07-05 13:12:24","모바일웹","20240705-0000137","P00000CK","P00000CK000D","1","88000.00","0.00","","배송중"
"2024-07-05 13:22:33","2024-07-05 13:22:33","모바일웹","20240705-0000151","P00000JD","P00000JD000K","1","77900.00","0.00","","취소 완료"
"2024-07-05 14:07:05","2024-07-05 14:07:05","모바일웹","20240705-0000201","P00000JZ","P00000JZ000B","1","39900.00","3000.00","","배송중"
"2024-07-05 13:38:02","2024-07-05 13:38:01","쿠팡","20240705-0000210","14478287655","14478287655000000000000","1","42000.00","0.00","","배송 완료"
"2024-07-05 14:21:49","2024-07-05 14:24:50","네이버 페이","20240705-0000221","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-05 14:46:05","2024-07-05 14:46:00","쿠팡","20240705-0000231","13524651195","13524651195000000000000","1","160000.00","0.00","","배송 완료"
"2024-07-05 15:37:23","2024-07-05 15:37:23","모바일웹","20240705-0000247","P00000KA","P00000KA000K","1","89000.00","3000.00","","배송 준비중"
"2024-07-05 17:00:17","2024-07-05 17:00:09","쿠팡","20240705-0000253","13524651195","13524651195000000000000","1","89000.00","0.00","","배송 준비중"
"2024-07-05 17:02:40","2024-07-05 17:01:00","쿠팡","20240705-0000268","14189961898","14189961898000000000000","1","17800.00","3000.00","","배송 준비중"
"2024-07-05 17:08:21","2024-07-05 17:12:20","네이버 페이","20240705-0000275","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-05 17:13:14","2024-07-05 17:13:13","쿠팡","20240705-0000281","14651382730","14651382730000000000000","1","83800.00","0.00","","배송 준비중"
"2024-07-05 18:13:50","2024-07-05 18:13:42","쿠팡","20240705-0000293","13525526501","13525526501000000000000","1","21000.00","3000.00","","배송 준비중"
"2024-07-05 18:54:13","2024-07-05 18:54:13","모바일웹","20240705-0000309","P00000EE","P00000EE000B","1","53820.00","0.00","","배송 준비중"
"2024-07-05 19:27:55","2024-07-05 19:27:53","쿠팡","20240705-0000314","13525526501","13525526501000000000000","1","21000.00","3000.00","","배송 준비중"
"2024-07-05 22:17:36","2024-07-05 22:20:34","네이버 페이","20240705-0000327","P000000R","P000000R000Q","1","72900.00","0.00","","배송 준비중"
"2024-07-05 22:14:11","2024-07-05 22:13:46","쿠팡","20240705-0000332","13525526501","13525526501000000000000","1","54000.00","0.00","","배송 준비중"
"2024-07-05 23:40:42","2024-07-05 23:40:42","모바일웹","20240705-0000345","P00000IS","P00000IS000G","1","86000.00","0.00","","배송 준비중"
