결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-08-02 09:58:31","2024-08-02 10:01:06","네이버 페이","20240802-0000016","P000000M","P000000M000J","1","41900.00","3000.00","","배송중"
"2024-08-02 10:12:47","2024-08-02 10:12:47","모바일웹","20240802-0000024","P000000M","P000000M000L","1","52000.00","0.00","","배송중"
"2024-08-02 14:10:17","2024-08-02 14:10:17","모바일웹","20240802-0000036","P000000L","P000000L000B","1","50000.00","0.00","","배송중"
"2024-08-02 18:50:19","2024-08-02 18:47:36","모바일웹","20240802-0000043","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-08-02 19:22:18","2024-08-02 19:22:18","모바일웹","20240802-0000054","P000000V","P000000V000E","1","52000.00","0.00","","배송 준비중"
"2024-08-02 21:35:35","2024-08-02 21:31:45","모바일웹","20240802-0000064","P000000V","P000000V000E","1","52000.00","0.00","","배송 준비중"
"2024-08-03 00:40:43","2024-08-03 00:43:12","네이버 페이","20240803-0000019","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-08-03 08:20:23","2024-08-03 08:20:23","모바일웹","20240803-0000026","P000000M","P000000M000L","1","52000.00","0.00","","배송 준비중"
"2024-08-03 14:34:27","2024-08-03 14:38:27","네이버 페이","20240803-0000046","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-08-03 20:16:18","2024-08-03 20:16:18","모바일웹","20240803-0000057","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-08-04 17:46:33","2024-08-04 17:46:33","모바일웹","20240804-0000012","P000000V","P000000V000E","1","52000.00","0.00","","배송 준비중"
"2024-08-04 22:12:06","2024-08-04 22:16:12","네이버 페이","20240804-0000027","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
