결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-29 00:00:10","2024-07-29 00:00:10","PC쇼핑몰","20240728-0000222","P00000GU","P00000GU000C","1","86000.00","0.00","","배송중"
"2024-07-29 07:01:08","2024-07-29 07:01:08","모바일웹","20240729-0000016","P00000CK","P00000CK000B","1","52800.00","0.00","","배송중"
"2024-07-29 08:14:56","2024-07-29 08:14:56","모바일웹","20240729-0000025","P000000R","P000000R000R","1","135000.00","0.00","","배송중"
"2024-07-29 09:15:02","2024-07-29 09:15:02","모바일웹","20240729-0000058","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-29 10:03:53","2024-07-29 10:03:53","모바일웹","20240729-0000067","P000000O","P000000O000H","1","48000.00","3000.00","","배송중"
"2024-07-29 10:00:55","2024-07-29 10:04:40","네이버 페이","20240729-0000072","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-29 10:07:14","2024-07-29 10:07:14","모바일웹","20240729-0000087","P00000JH","P00000JH000P","1","24900.00","3000.00","","배송중"
"2024-07-29 10:56:18","2024-07-29 11:00:22","네이버 페이","20240729-0000108","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-29 11:01:31","2024-07-29 11:01:31","모바일웹","20240729-0000118","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-29 11:27:08","2024-07-29 11:27:08","모바일웹","20240729-0000122","P00000JZ","P00000JZ000D","2","81800.00","0.00","","배송중"
"2024-07-29 12:18:22","2024-07-29 12:18:22","모바일웹","20240729-0000137","P00000KA","P00000KA000K","1","89000.00","0.00","","배송중"
"2024-07-29 12:36:50","2024-07-29 12:36:50","모바일웹","20240729-0000146","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-29 12:36:50","2024-07-29 12:36:50","모바일웹","20240729-0000146","P00000GU","P00000GU000B","1","48000.00","","","배송중"
"2024-07-29 16:30:30","2024-07-29 16:30:30","모바일웹","20240729-0000164","P000000O","P000000O000I","1","89000.00","0.00","","배송 준비중"
"2024-07-29 16:51:38","2024-07-29 16:54:33","네이버 페이","20240729-0000172","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-29 18:30:36","2024-07-29 18:29:50","쿠팡","20240729-0000204","13525526501","13525526501000000000000","1","24000.00","3000.00","","배송 준비중"
"2024-07-29 18:40:36","2024-07-29 18:40:35","쿠팡","20240729-0000218","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-29 19:26:07","2024-07-29 19:26:07","모바일웹","20240729-0000224","P00000KA","P00000KA000Q","1","160000.00","0.00","","배송 준비중"
"2024-07-29 19:15:44","2024-07-29 19:15:41","쿠팡","20240729-0000234","13524651195","13524651195000000000000","1","89000.00","0.00","","배송 준비중"
"2024-07-29 19:31:35","2024-07-29 19:34:37","네이버 페이","20240729-0000243","P00000JI","P00000JI000S","2","183200.00","0.00","","배송 준비중"
"2024-07-29 20:33:41","2024-07-29 20:36:40","네이버 페이","20240729-0000258","P00000CK","P00000CK000A","1","27900.00","3000.00","","배송 준비중"
"2024-07-29 21:31:47","2024-07-29 21:31:47","모바일웹","20240729-0000269","P00000BK","P00000BK000M","1","54000.00","0.00","","배송 준비중"
"2024-07-29 21:37:32","2024-07-29 21:37:25","쿠팡","20240729-0000273","14478287655","14478287655000000000000","1","54000.00","0.00","","배송 준비중"
"2024-07-29 21:39:40","2024-07-29 21:39:39","쿠팡","20240729-0000282","13525598019","13525598019000000000000","1","52800.00","0.00","","배송 준비중"
"2024-07-29 22:36:52","2024-07-29 22:36:52","모바일웹","20240729-0000317","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-29 23:12:02","2024-07-29 23:12:01","쿠팡","20240729-0000326","14651382730","14651382730000000000000","1","24000.00","3000.00","","배송 준비중"
