결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-08-02 00:21:02","2024-08-02 00:21:01","모바일웹","20240802-0000011","P00000GU","P00000GU000E","1","168000.00","3000.00","","배송중"
"2024-08-02 00:21:02","2024-08-02 00:21:01","모바일웹","20240802-0000011","P00000JH","P00000JH000S","1","89000.00","","","배송중"
"2024-08-02 00:19:52","2024-08-02 00:22:41","네이버 페이","20240802-0000021","P000000O","P000000O000K","1","160000.00","0.00","","배송중"
"2024-08-02 06:55:48","2024-08-02 06:55:46","쿠팡","20240802-0000038","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 완료"
"2024-08-02 08:39:57","2024-08-02 08:39:57","모바일웹","20240802-0000048","P00000CK","P00000CK000B","1","52800.00","0.00","","배송중"
"2024-08-02 11:31:23","2024-08-02 11:31:15","쿠팡","20240802-0000065","13524651195","13524651195000000000000","1","89000.00","0.00","","배송 완료"
"2024-08-02 12:24:01","2024-08-02 12:26:15","네이버 페이","20240802-0000073","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-08-02 12:47:50","2024-08-02 12:51:00","네이버 페이","20240802-0000087","P00000JR","P00000JR000B","1","89000.00","0.00","","배송중"
"2024-08-02 12:47:50","2024-08-02 12:51:00","네이버 페이","20240802-0000087","P000000S","P000000S000C","1","89000.00","","","배송중"
"2024-08-02 13:12:54","2024-08-02 13:12:54","모바일웹","20240802-0000090","P000000R","P000000R000Q","1","72900.00","0.00","","배송중"
"2024-08-02 13:22:56","2024-08-02 13:22:56","모바일웹","20240802-0000100","P000000O","P000000O000I","1","89000.00","0.00","","배송중"
"2024-08-02 12:55:21","2024-08-02 12:54:52","쿠팡","20240802-0000115","13525598019","13525598019000000000000","1","88000.00","0.00","","배송 완료"
"2024-08-02 13:25:06","2024-08-02 13:24:56","쿠팡","20240802-0000126","13524651195","13524651195000000000000","1","160000.00","0.00","","배송 완료"
"2024-08-02 13:53:43","2024-08-02 13:56:13","네이버 페이","20240802-0000136","P00000DR","P00000DR000G","1","48000.00","3000.00","","배송중"
"2024-08-02 15:45:55","2024-08-02 15:48:23","네이버 페이","20240802-0000146","P00000EE","P00000EE000B","1","53820.00","0.00","","배송 준비중"
"2024-08-02 16:57:06","2024-08-02 16:57:06","PC쇼핑몰","20240802-0000154","P00000JI","P00000JI000S","1","91600.00","0.00","","배송 준비중"
"2024-08-02 17:27:33","2024-08-02 17:27:30","쿠팡","20240802-0000165","13524651195","13524651195000000000000","1","126000.00","0.00","","배송 준비중"
"2024-08-02 17:41:14","2024-08-02 17:41:08","쿠팡","20240802-0000179","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-08-02 17:59:48","2024-08-02 17:59:29","쿠팡","20240802-0000183","13525526501","13525526501000000000000","1","54000.00","0.00","","배송 준비중"
"2024-08-02 21:56:51","2024-08-02 21:56:51","모바일웹","20240802-0000193","P00000JZ","P00000JZ000E","2","83800.00","0.00","","배송 준비중"
"2024-08-02 22:06:17","2024-08-02 22:06:17","모바일웹","20240802-0000201","P00000JC","P00000JC000J","1","81000.00","0.00","","배송 준비중"
"2024-08-02 22:10:02","2024-08-02 22:09:26","쿠팡","20240802-0000215","13653693674","13653693674000000000000","1","48000.00","3000.00","","배송 준비중"
"2024-08-03 01:12:38","2024-08-03 01:15:21","네이버 페이","20240803-0000011","P00000JC","P00000JC000J","1","81000.00","0.00","","배송 준비중"
"2024-08-03 11:10:42","2024-08-03 11:07:11","모바일웹","20240803-0000022","P00000KD","P00000KD000I","1","48000.00","0.00","","배송 준비중"
