결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-26 03:17:50","2024-07-26 03:11:06","모바일웹","20240726-0000013","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-26 03:17:50","2024-07-26 03:11:06","모바일웹","20240726-0000013","P00000IS","P00000IS000G","1","86000.00","","","배송중"
"2024-07-26 03:28:05","2024-07-26 03:28:04","쿠팡","20240726-0000027","13525526501","13525526501000000000000","1","33000.00","0.00","","취소 완료"
"2024-07-26 08:33:56","2024-07-26 08:33:56","모바일웹","20240726-0000039","P000000O","P000000O000H","1","48000.00","3000.00","","배송중"
"2024-07-26 10:30:27","2024-07-26 10:30:27","PC쇼핑몰","20240726-0000040","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-26 10:26:44","2024-07-26 10:30:20","네이버 페이","20240726-0000055","P00000CK","P00000CK000A","1","27900.00","3000.00","","배송중"
"2024-07-26 10:52:11","2024-07-26 10:52:00","쿠팡","20240726-0000063","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 완료"
"2024-07-26 11:32:33","2024-07-26 11:36:41","네이버 페이","20240726-0000076","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-26 15:18:26","2024-07-26 15:18:26","모바일웹","20240726-0000122","P00000EE","P00000EE000B","1","53820.00","0.00","","취소 요청"
"2024-07-26 15:12:42","2024-07-26 15:12:41","쿠팡","20240726-0000137","13525598019","13525598019000000000000","1","52800.00","0.00","","배송 준비중"
"2024-07-26 15:42:43","2024-07-26 15:42:43","모바일웹","20240726-0000145","P00000GJ","P00000GJ000R","1","41000.00","3000.00","","배송 준비중"
"2024-07-26 16:30:00","2024-07-26 16:30:00","모바일웹","20240726-0000168","P00000JZ","P00000JZ000B","2","79800.00","0.00","","배송 준비중"
"2024-07-26 17:21:06","2024-07-26 17:21:05","쿠팡","20240726-0000172","14651382730","14651382730000000000000","1","84450.00","0.00","","배송 준비중"
"2024-07-26 17:54:02","2024-07-26 17:54:01","모바일웹","20240726-0000182","P00000DP","P00000DP000Q","1","146900.00","0.00","","배송 준비중"
"2024-07-26 21:16:42","2024-07-26 21:16:42","모바일웹","20240726-0000191","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-26 21:37:54","2024-07-26 21:37:53","쿠팡","20240726-0000204","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-26 21:42:44","2024-07-26 21:42:43","쿠팡","20240726-0000216","14105937266","14105937266000000000000","1","89000.00","0.00","","배송 준비중"
"2024-07-26 23:43:05","2024-07-26 23:43:05","모바일웹","20240726-0000228","P00000CK","P00000CK000B","1","52800.00","0.00","","배송 준비중"
"2024-07-27 07:27:32","2024-07-27 07:30:41","네이버 페이","20240727-0000019","P00000JZ","P00000JZ000E","2","83800.00","0.00","","배송 준비중"
"2024-07-27 08:36:15","2024-07-27 08:39:13","네이버 페이","20240727-0000029","P000000O","P000000O000H","1","48000.00","3000.00","","배송 준비중"
"2024-07-27 08:36:18","2024-07-27 08:36:16","쿠팡","20240727-0000032","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-27 10:21:29","2024-07-27 10:21:28","쿠팡","20240727-0000045","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-27 10:49:05","2024-07-27 10:48:54","쿠팡","20240727-0000058","13525598019","13525598019000000000000","1","88000.00","0.00","","배송 준비중"
"2024-07-27 11:08:31","2024-07-27 11:08:31","모바일웹","20240727-0000061","P00000IN","P00000IN000L","1","108000.00","0.00","","배송 준비중"
"2024-07-27 11:15:41","2024-07-27 11:15:41","모바일웹","20240727-0000082","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-27 11:20:32","2024-07-27 11:20:32","모바일웹","20240727-0000094","P000000O","P000000O000J","1","126000.00","0.00","","배송 준비중"
"2024-07-27 12:36:35","2024-07-27 12:36:35","모바일웹","20240727-0000101","P00000DU","P00000DU000A","1","5000.00","3000.00","","배송 준비중"
"2024-07-27 12:41:25","2024-07-27 12:44:13","네이버 페이","20240727-0000112","P000000O","P000000O000H","1","48000.00","0.00","","배송 준비중"
"2024-07-27 12:41:25","2024-07-27 12:44:13","네이버 페이","20240727-0000112","P00000CK","P00000CK000A","1","27900.00","","","배송 준비중"
"2024-07-27 12:54:15","2024-07-27 12:54:15","모바일웹","20240727-0000128","P00000KA","P00000KA000R","1","48000.00","0.00","","배송 준비중"
"2024-07-27 14:14:50","2024-07-27 14:14:33","쿠팡","20240727-0000136","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-27 15:03:21","2024-07-27 15:00:49","PC쇼핑몰","20240727-0000143","P00000BK","P00000BK000L","1","30000.00","3000.00","","배송 준비중"
"2024-07-27 18:44:01","2024-07-27 16:04:34","모바일웹","20240727-0000165","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-27 16:05:27","2024-07-27 16:05:27","모바일웹","20240727-0000171","P00000CK","P00000CK000D","1","88000.00","0.00","","배송 준비중"
"2024-07-28 17:39:39","2024-07-27 16:41:10","모바일웹","20240727-0000186","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-27 16:55:01","2024-07-27 16:55:01","모바일웹","20240727-0000198","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-27 17:38:32","2024-07-27 17:38:32","모바일웹","20240727-0000211","P00000IN","P00000IN000K","1","54000.00","0.00","","배송 준비중"
"2024-07-27 18:32:30","2024-07-27 18:36:20","네이버 페이","20240727-0000225","P000000Y","P000000Y000L","1","30900.00","3000.00","","배송 준비중"
"2024-07-27 21:54:02","2024-07-27 21:54:02","모바일웹","20240727-0000231","P00000EE","P00000EE000B","2","107640.00","0.00","","배송 준비중"
"2024-07-28 00:06:17","2024-07-28 00:09:11","네이버 페이","20240728-0000018","P00000EE","P00000EE000B","1","53820.00","0.00","","취소 요청"
"2024-07-28 00:36:16","2024-07-28 00:22:48","모바일웹","20240728-0000021","P00000KA","P00000KA000M","1","160000.00","0.00","","배송 준비중"
"2024-07-28 00:36:16","2024-07-28 00:22:48","모바일웹","20240728-0000021","P00000JD","P00000JD000K","1","77900.00","","","배송 준비중"
"2024-07-28 01:35:46","2024-07-28 01:38:29","네이버 페이","20240728-0000031","P00000JC","P00000JC000J","1","81000.00","0.00","","배송 준비중"
"2024-07-28 02:47:37","2024-07-28 02:47:09","쿠팡","20240728-0000048","13525598019","13525598019000000000000","1","88000.00","0.00","","배송 준비중"
"2024-07-28 07:52:56","2024-07-28 07:56:30","네이버 페이","20240728-0000051","P00000KB","P00000KB000B","1","89000.00","0.00","","취소 요청"
"2024-07-28 11:03:51","2024-07-28 11:03:51","모바일웹","20240728-0000063","P00000DU","P00000DU000A","1","5000.00","3000.00","","배송 준비중"
"2024-07-28 11:03:51","2024-07-28 11:03:51","모바일웹","20240728-0000063","P00000JZ","P00000JZ000B","1","39900.00","","","배송 준비중"
"2024-07-28 11:22:35","2024-07-28 11:22:35","모바일웹","20240728-0000076","P00000IN","P00000IN000L","1","108000.00","0.00","","배송 준비중"
"2024-07-28 11:54:49","2024-07-28 11:54:49","모바일웹","20240728-0000088","P00000JD","P00000JD000K","1","77900.00","0.00","","배송 준비중"
"2024-07-28 11:50:21","2024-07-28 11:54:21","네이버 페이","20240728-0000099","P00000BK","P00000BK000K","1","24000.00","3000.00","","배송 준비중"
"2024-07-28 14:17:23","2024-07-28 14:20:33","네이버 페이","20240728-0000103","P00000JC","P00000JC000J","1","81000.00","0.00","","배송 준비중"
"2024-07-28 15:06:04","2024-07-28 15:06:03","쿠팡","20240728-0000111","13525526501","13525526501000000000000","1","24000.00","3000.00","","취소 요청"
"2024-07-28 16:52:49","2024-07-28 16:56:34","네이버 페이","20240728-0000125","P00000JC","P00000JC000J","1","81000.00","0.00","","배송 준비중"
"2024-07-28 17:05:46","2024-07-28 17:08:11","네이버 페이","20240728-0000132","P00000GJ","P00000GJ000R","1","41000.00","3000.00","","배송 준비중"
"2024-07-28 17:22:51","2024-07-28 17:22:51","모바일웹","20240728-0000150","P00000DR","P00000DR000G","1","48000.00","0.00","","배송 준비중"
"2024-07-28 17:22:51","2024-07-28 17:22:51","모바일웹","20240728-0000150","P000000O","P000000O000K","1","160000.00","","","배송 준비중"
"2024-07-28 18:24:23","2024-07-28 18:24:22","쿠팡","20240728-0000160","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-28 19:46:01","2024-07-28 19:46:00","쿠팡","20240728-0000170","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-28 19:50:46","2024-07-28 19:50:44","쿠팡","20240728-0000186","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-28 21:09:48","2024-07-28 21:11:34","네이버 페이","20240728-0000208","P00000JZ","P00000JZ000B","4","159600.00","0.00","","배송 준비중"
"2024-07-28 22:26:51","2024-07-28 22:24:10","모바일웹","20240728-0000219","P00000BK","P00000BK000L","1","30000.00","3000.00","","배송 준비중"
