결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-07-25 00:15:19","2024-07-25 00:15:19","모바일웹","20240725-0000026","P00000DP","P00000DP000Q","1","146900.00","0.00","","배송중"
"2024-07-25 00:22:53","2024-07-25 00:22:53","모바일웹","20240725-0000038","P00000JZ","P00000JZ000C","1","40900.00","3000.00","","배송중"
"2024-07-25 00:36:56","2024-07-25 00:36:54","쿠팡","20240725-0000051","13524651195","13524651195000000000000","1","89000.00","0.00","","배송중"
"2024-07-25 01:26:43","2024-07-25 01:21:45","모바일웹","20240725-0000062","P00000KA","P00000KA000J","1","48000.00","0.00","","배송중"
"2024-07-25 01:28:37","2024-07-25 01:28:37","모바일웹","20240725-0000077","P000000O","P000000O000J","1","126000.00","0.00","","배송중"
"2024-07-25 02:10:50","2024-07-25 02:10:50","모바일웹","20240725-0000083","P000000O","P000000O000I","1","89000.00","0.00","","배송중"
"2024-07-25 02:10:50","2024-07-25 02:10:50","모바일웹","20240725-0000083","P00000JZ","P00000JZ000B","2","79800.00","","","배송중"
"2024-07-25 02:27:21","2024-07-25 02:27:21","모바일웹","20240725-0000098","P00000DP","P00000DP000O","1","79900.00","0.00","","배송중"
"2024-07-25 02:06:05","2024-07-25 02:06:04","쿠팡","20240725-0000102","14105937266","14105937266000000000000","1","89000.00","0.00","","배송중"
"2024-07-25 06:51:44","2024-07-25 06:51:44","모바일웹","20240725-0000115","P00000IS","P00000IS000G","1","86000.00","0.00","","취소 완료"
"2024-07-25 08:10:24","2024-07-25 08:14:22","네이버 페이","20240725-0000125","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-07-25 08:55:43","2024-07-25 08:55:43","모바일웹","20240725-0000131","P00000KA","P00000KA000J","1","48000.00","0.00","","배송중"
"2024-07-25 08:53:44","2024-07-25 08:56:46","네이버 페이","20240725-0000141","P00000KB","P00000KB000D","1","160000.00","0.00","","배송중"
"2024-07-25 09:04:12","2024-07-25 09:08:23","네이버 페이","20240725-0000157","P00000JZ","P00000JZ000E","2","83800.00","0.00","","배송중"
"2024-07-25 09:04:12","2024-07-25 09:08:23","네이버 페이","20240725-0000157","P00000JZ","P00000JZ000B","3","119700.00","","","배송중"
"2024-07-25 10:36:04","2024-07-25 10:36:04","모바일웹","20240725-0000166","P00000JZ","P00000JZ000B","2","79800.00","0.00","","배송중"
"2024-07-25 12:04:14","2024-07-25 12:08:21","네이버 페이","20240725-0000171","P00000CK","P00000CK000A","1","27900.00","3000.00","","배송중"
"2024-07-25 12:34:46","2024-07-25 12:34:46","모바일웹","20240725-0000201","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-25 13:43:32","2024-07-25 13:43:32","모바일웹","20240725-0000213","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-07-25 14:36:53","2024-07-25 14:36:53","모바일웹","20240725-0000223","P000000Y","P000000Y000L","2","61800.00","0.00","","배송중"
"2024-07-25 14:36:53","2024-07-25 14:36:53","모바일웹","20240725-0000223","P00000JD","P00000JD000K","1","77900.00","","","배송중"
"2024-07-25 20:14:19","2024-07-25 20:14:19","모바일웹","20240725-0000233","P00000EE","P00000EE000B","1","53820.00","0.00","","배송 준비중"
"2024-07-25 20:14:19","2024-07-25 20:14:19","모바일웹","20240725-0000233","P00000IS","P00000IS000G","1","86000.00","","","배송 준비중"
"2024-07-25 21:14:31","2024-07-25 21:14:31","모바일웹","20240725-0000241","P00000GU","P00000GU000B","1","48000.00","6000.00","","배송 준비중"
"2024-07-25 22:27:45","2024-07-25 22:22:04","쿠팡","20240725-0000258","13524651195","13524651195000000000000","1","160000.00","0.00","","배송 준비중"
"2024-07-25 22:28:10","2024-07-25 22:27:48","쿠팡","20240725-0000268","13525526501","13525526501000000000000","1","33000.00","0.00","","배송 준비중"
"2024-07-25 23:00:51","2024-07-25 23:00:51","모바일웹","20240725-0000273","P00000GU","P00000GU000C","1","86000.00","0.00","","배송 준비중"
