결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-08-01 00:19:58","2024-08-01 00:22:27","네이버 페이","20240801-0000010","P000000L","P000000L000A","1","27500.00","3000.00","","배송중"
"2024-08-01 02:22:02","2024-08-01 02:22:02","모바일웹","20240801-0000021","P000000V","P000000V000E","1","52000.00","0.00","","배송중"
"2024-08-01 07:24:45","2024-08-01 07:24:45","모바일웹","20240801-0000031","P000000V","P000000V000E","1","52000.00","0.00","","배송중"
"2024-08-01 08:39:25","2024-08-01 08:42:31","네이버 페이","20240801-0000048","P000000L","P000000L000A","1","27500.00","3000.00","","배송중"
"2024-08-01 09:20:42","2024-08-01 09:20:42","모바일웹","20240801-0000054","P000000V","P000000V000E","1","52000.00","0.00","","배송중"
"2024-08-01 14:40:48","2024-08-01 14:40:48","모바일웹","20240801-0000098","P000000L","P000000L000A","1","27500.00","3000.00","","배송중"
"2024-08-01 16:22:59","2024-08-01 16:22:59","모바일웹","20240801-0000103","P000000M","P000000M000L","1","52000.00","0.00","","배송 준비중"
"2024-08-01 22:23:11","2024-08-01 22:23:11","모바일웹","20240801-0000119","P000000L","P000000L000A","1","27500.00","3000.00","","배송 준비중"
"2024-08-01 23:21:56","2024-08-01 23:24:53","네이버 페이","20240801-0000126","P000000M","P000000M000J","1","41900.00","3000.00","","배송 준비중"
